Drug_ID	Drug	Y
"azimilide"	"CN1CCN(CCCCN2C(=O)CN(/N=C\c3ccc(-c4ccc(Cl)cc4)o3)C2=O)CC1"	1
"azithromycin"	"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O"	0
"barnidipine"	"COC(=O)C1=C(C)NC(C)=C(C(=O)O[C@H]2CCN(Cc3ccccc3)C2)[C@H]1c1cccc([N+](=O)[O-])c1"	1
"beclomethasone"	"C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO"	0
"benidipine"	"COC(=O)C1=C(C)NC(C)=C(C(=O)O[C@@H]2CCCN(Cc3ccccc3)C2)[C@@H]1c1cccc([N+](=O)[O-])c1"	0
"benzene"	"c1ccccc1"	0
"benzphetamine"	"C[C@@H](Cc1ccccc1)N(C)Cc1ccccc1"	1
"benzydamine"	"CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12"	1
"bepridil"	"CC(C)COC[C@@H](CN(Cc1ccccc1)c1ccccc1)N1CCCC1"	1
"betamethasone"	"C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO"	0
"betaxolol"	"CC(C)NC[C@H](O)COc1ccc(CCOCC2CC2)cc1"	0
"bexarotene"	"C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C"	1
"bezafibrate"	"CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O"	1
"bifluranol"	"CC[C@@H](c1ccc(O)c(F)c1)[C@H](C)c1ccc(O)c(F)c1"	0
"bifonazol"	"c1ccc(-c2ccc([C@@H](c3ccccc3)n3ccnc3)cc2)cc1"	0
"biperiden"	"O[C@@](CCN1CCCCC1)(c1ccccc1)[C@@H]1C[C@@H]2C=C[C@H]1C2"	0
"bisoprolol"	"CC(C)NC[C@H](O)COc1ccc(COCCOC(C)C)cc1"	1
"benzbromarone"	"CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1"	0
"boldenone"	"C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12"	1
"bortezomib"	"CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O"	1
"bosentan"	"COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO"	1
"brinzolamide"	"CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21"	1
"brofaromine"	"COc1cc(Br)c2oc(C3CCNCC3)cc2c1"	0
"bromazepam"	"O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1"	1
"bromocriptine"	"CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12"	1
"bromperidol"	"O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1"	1
"bropirimine"	"Nc1nc(=O)c(Br)c(-c2ccccc2)[nH]1"	0
"brotizolam"	"Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2"	1
"budesonide"	"CCC[C@H]1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1"	1
"budipine"	"CC(C)(C)N1CCC(c2ccccc2)(c2ccccc2)CC1"	0
"buflomedil"	"COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1"	0
"(R)(+)-bufuralol"	"CCc1cccc2cc([C@H](O)CNC(C)(C)C)oc12"	1
"bunitrolol"	"CC(C)(C)NC[C@H](O)COc1ccccc1C#N"	0
"bupivacaine"	"CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C"	1
"bupranolol"	"Cc1ccc(Cl)c(OC[C@@H](O)CNC(C)(C)C)c1"	0
"buprenorphine"	"CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@@H]2O5"	1
"bupropion"	"C[C@@H](NC(C)(C)C)C(=O)c1cccc(Cl)c1"	1
"buspirone"	"O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1"	1
"busufan"	"CS(=O)(=O)OCCCCOS(C)(=O)=O"	1
"caffeine"	"Cn1c(=O)c2c(ncn2C)n(C)c1=O"	1
"candesartan"	"CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1"	0
"capravirine"	"CC(C)c1nc(COC(N)=O)n(Cc2ccncc2)c1Sc1cc(Cl)cc(Cl)c1"	0
"captopril"	"C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O"	0
"carbamazepine"	"NC(=O)N1c2ccccc2C=Cc2ccccc21"	1
"carbaryl"	"CNC(=O)Oc1cccc2ccccc12"	1
"carbimazole"	"CCOC(=O)n1ccn(C)c1=S"	0
"carisoprodol"	"CCC[C@@](C)(COC(N)=O)COC(=O)NC(C)C"	0
"carteolol"	"CC(C)(C)NC[C@H](O)COc1cccc2c1CCC(=O)N2"	0
"carvedilol"	"COc1ccccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12"	1
"cathinone"	"C[C@H](N)C(=O)c1ccccc1"	0
"celecoxib"	"Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1"	1
"cerivastatin"	"COCc1c(C(C)C)nc(C(C)C)c(/C=C\[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1"	1
"cetirizine"	"O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1"	0
"cevimeline"	"C[C@H]1O[C@]2(CS1)CN1CCC2CC1"	1
"chenodiol"	"C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@@H]1C[C@H]3O"	1
"chlorguanide"	"CC(C)/N=C(N)\N=C(/N)Nc1ccc(Cl)cc1"	1
"chloroform"	"ClC(Cl)Cl"	0
"chloroquine"	"CCN(CC)CCC[C@H](C)Nc1ccnc2cc(Cl)ccc12"	1
"chlorzoxazone"	"Oc1nc2cc(Cl)ccc2o1"	1
"chlorpheniramine"	"CN(C)CC[C@H](c1ccc(Cl)cc1)c1ccccn1"	1
"chlorpyrifos"	"CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl"	1
"chloral-hydrate"	"OC(O)C(Cl)(Cl)Cl"	0
"chloramphenicol"	"O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl"	0
"cholecalciferol"	"C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)C"	0
"cifenline"	"c1ccc(C2(c3ccccc3)C[C@H]2C2=NCCN2)cc1"	1
"cilnidipine"	"COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC/C=C/c2ccccc2)[C@H]1c1cccc([N+](=O)[O-])c1"	1
"cilostazol"	"O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1"	1
"cimetidine"	"CN/C(=N\C#N)NCCSCc1nc[nH]c1C"	1
"cinnarizine"	"C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1"	0
"ciprofloxacin"	"O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O"	0
"ciprofibrate"	"CC(C)(Oc1ccc([C@@H]2CC2(Cl)Cl)cc1)C(=O)O"	1
"cisapride"	"COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCN(CCCOc2ccc(F)cc2)C[C@H]1OC"	1
"citalopram"	"CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21"	1
"clarithromycin"	"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O"	1
"chlordiazepoxide"	"CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1"	1
"clemastine"	"CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1"	0
"clindamycin"	"CCC[C@@H]1C[C@H](C(=O)N[C@H]([C@H](C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1"	1
"clofazimine"	"CC(C)/N=c1/cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1"	0
"clofibric-acid"	"CC(C)(Oc1ccc(Cl)cc1)C(=O)O"	1
"clofibrate"	"CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1"	1
"clomethiazole"	"Cc1ncsc1CCCl"	1
"clomipramine"	"CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21"	1
"clonazepam"	"O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1"	1
"clopentixol"	"OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(Cl)cc32)CC1"	0
"clopidogrel"	"COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1"	1
"clotrimazole"	"Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1"	1
"clozapine"	"CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1"	1
"chlorpromazine"	"CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21"	1
"cocaine"	"COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C"	1
"codeine"	"COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314"	1
"colchicine"	"COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2"	1
"corticosterone"	"C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO"	1
"cortsione"	"C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO"	1
"(-)-cotinine"	"CN1C(=O)CC[C@H]1c1cccnc1"	0
"coumarin"	"O=c1ccc2ccccc2o1"	0
"cyclobenzaprine"	"CN(C)CCC=C1c2ccccc2C=Cc2ccccc21"	1
"cyclosporin-A"	"C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C"	1
"cyclophosphamide"	"O=[P@]1(N(CCCl)CCCl)NCCCO1"	1
"cyproterone"	"CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C"	1
"dacarbazine"	"CN(C)/N=N\c1[nH]cnc1C(N)=O"	0
"dalfopristin"	"CCN(CC)CCS(=O)(=O)[C@@H]1CCN2C(=O)c3coc(n3)CC(=O)C[C@H](O)C=C(C)C=CCNC(=O)C=C[C@@H](C)[C@@H](C(C)C)OC(=O)[C@@H]12"	0
"danazol"	"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C"	0
"dantrolene"	"O=C1CN(/N=C\c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1"	1
"dapsone"	"Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1"	1
"daunorubicine"	"COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1"	0
"dazoxiben"	"O=C(O)c1ccc(OCCn2ccnc2)cc1"	0
"debrisoquin"	"N=C(N)N1CCc2ccccc2C1"	0
"delapril"	"CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N(CC(=O)O)C1Cc2ccccc2C1"	0
"delavirdine"	"CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1"	1
"desipramine"	"CNCCCN1c2ccccc2CCc2ccccc21"	0
"desloratadine"	"Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1"	0
"desogestrel"	"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC"	0
"dexamethasone"	"C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO"	1
"dexloxiglumide"	"CCCCCN(CCCOC)C(=O)[C@@H](CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1"	0
"dexmedetomidine"	"Cc1cccc([C@H](C)c2c[nH]cn2)c1C"	0
"dextromethorphan"	"COc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(C)CC3"	1
"dextrorphan"	"CN1CC[C@@]23CCCC[C@@H]2[C@@H]1Cc1ccc(O)cc13"	1
"diazepam"	"CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21"	1
"diclofenac"	"O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl"	1
"dicumarol"	"O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O"	0
"dieldrin"	"ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C[C@H]([C@@H]3[C@@]1(Cl)C2(Cl)Cl)[C@H]1O[C@@H]41"	0
"diethylcarbamazine"	"CCN(CC)C(=O)N1CCN(C)CC1"	0
"diethylstilbestrol"	"CC/C(=C(\CC)c1ccc(O)cc1)c1ccc(O)cc1"	1
"difloxacin"	"CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)CC1"	0
"digitoxin"	"C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6CC[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O"	1
"digoxin"	"C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O"	0
"dihydrocodeine"	"COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314"	1
"dihydralazine"	"NNc1nnc(NN)c2ccccc12"	1
"dihydroergotamine"	"CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21"	1
"diltiazem"	"COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1"	1
"diosmin"	"COc1ccc(-c2cc(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1O"	0
"diphenhydramine"	"CN(C)CCOC(c1ccccc1)c1ccccc1"	0
"diprafenone"	"CCC(C)(C)NC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1"	0
"dirithromycin"	"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)[C@@H]2N[C@@H](COCCOC)O[C@H]([C@H]2C)[C@]1(C)O"	0
"disopyramide"	"CC(C)N(CC[C@@](C(N)=O)(c1ccccc1)c1ccccn1)C(C)C"	1
"disulfamide"	"Cc1cc(Cl)c(S(N)(=O)=O)cc1S(N)(=O)=O"	0
"disulfiram"	"CCN(CC)C(=S)SSC(=S)N(CC)CC"	0
"dimethyl-suldoxide"	"CS(C)=O"	0
"dofetilide"	"CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1"	1
"dolasetron"	"O=C(OC1C[C@@H]2CC3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12"	1
"domperidone"	"O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1"	0
"donepezil"	"COc1cc2c(cc1OC)C(=O)[C@H](CC1CCN(Cc3ccccc3)CC1)C2"	1
"dorzolamide"	"CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21"	1
"doxepin"	"CN(C)CC/C=C1/c2ccccc2COc2ccccc21"	1
"doxorubicine"	"COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1"	1
"doxycycline"	"C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21"	1
"drospirenone"	"C[C@]12CC[C@H]3[C@H]([C@@H]1[C@@H]1C[C@@H]1[C@@]21CCC(=O)O1)[C@H]1C[C@H]1C1=CC(=O)CC[C@@]13C"	1
"dutasteride"	"C[C@]12CC[C@H]3[C@@H](CC[C@H]4NC(=O)C=C[C@]34C)[C@@H]1CC[C@@H]2C(=O)Nc1cc(C(F)(F)F)ccc1C(F)(F)F"	1
"ebastine"	"CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1"	1
"ebrotidine"	"NC(N)=Nc1nc(CSCC/N=C/NS(=O)(=O)c2ccc(Br)cc2)cs1"	0
"ecabapide"	"CNC(=O)c1cccc(NCC(=O)NCCc2ccc(OC)c(OC)c2)c1"	1
"econazole"	"Clc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1"	0
"efavirenz"	"O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1"	1
"efonidipine"	"CC1=C(C(=O)OCCN(Cc2ccccc2)c2ccccc2)[C@H](c2cccc([N+](=O)[O-])c2)C(P2(=O)OCC(C)(C)CO2)=C(C)N1"	0
"eletriptan"	"CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12"	1
"emedastine"	"CCOCCn1c(N2CCCN(C)CC2)nc2ccccc21"	1
"emivirine"	"CCOCn1c(Cc2ccccc2)c(C(C)C)c(=O)[nH]c1=O"	1
"enalapril"	"CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O"	1
"encainide"	"COc1ccc(C(=O)Nc2ccccc2CC[C@H]2CCCCN2C)cc1"	0
"enflurane"	"FC(F)OC(F)(F)[C@@H](F)Cl"	0
"enoxacin"	"CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21"	0
"entacapone"	"CCN(CC)C(=O)/C(C#N)=C\c1cc(O)c(O)c([N+](=O)[O-])c1"	0
"epinastine"	"NC1=NC[C@@H]2c3ccccc3Cc3ccccc3N12"	1
"epinephrine"	"CNC[C@H](O)c1ccc(O)c(O)c1"	0
"eplerenone"	"COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13"	1
"eprosartan"	"CCCCc1ncc(/C=C(/Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1"	0
"ergonovine"	"C[C@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1"	1
